estado,populacao,prop_pop_65,idh,razao_sexual,dens_pop,pret_pardo,indig,regiao
Acre,830018,6.3,0.71,0.991613362148543,5.06,74.81,3.51,Norte
Alagoas,3127683,8.9,0.684,1.06413686765222,112.39,69.91,0.64,Nordeste
Amapá,733759,5.5,0.688,1.0129678806966,5.15,77.01,1.41,Norte
Amazonas,3941613,5.9,0.7,1.00508340073557,2.53,73.7,7.74,Norte
Bahia,14141626,10.6,0.691,1.06879397327496,25.04,79.7,0.59,Nordeste
Ceará,8794957,10.4,0.734,1.0655490336025,59.07,71.48,0.45,Nordeste
Distrito Federal,2817381,8.8,0.814,1.0981608387338,489.06,59.4,0.196,Centro Oeste
Espirito Santo,3833712,11.2,0.771,1.05004430332026,83.21,61,0.3,Sudeste
Goiás,7056495,9.2,0.737,1.03536633591399,20.74,63.36,0.15,Centro Oeste
Maranhão,6776699,8.4,0.676,1.03539742471894,20.56,79,0.81,Nordeste
Mato Grosso,3658649,7.7,0.736,0.987056012765303,4.05,65.86,1.55,Centro Oeste
Mato Grosso do Sul,2757013,9.6,0.742,1.03242352646303,7.72,53.4,3.48,Centro Oeste
Minas Gerais,20539989,12.4,0.774,1.0507773338862,35.02,58.6,0.16,Sudeste
Pará,8120131,7.3,0.69,1.00407348512876,6.52,79.66,0.85,Norte
Paraíba,3974687,11.,0.698,1.06455347271592,70.39,63.51,0.64,Nordeste
Paraná,11444380,11.3,0.769,1.05193864469685,57.42,34.3,0.24,Sul
Pernambuco,9058931,10.2,0.719,1.07920379721373,92.37,65.31,0.92,Nordeste
Piauí,3271199,10.7,0.69,1.04024804667821,12.99,77.08,0.19,Nordeste
Rio de Janeiro,16055174,13.1,0.762,1.11874671320689,366.97,57.8,0.01,Sudeste
Rio Grande do Norte,3302729,10.5,0.728,1.06580404087663,62.54,60,0.28,Nordeste
Rio Grande do Sul,10882965,14.1,0.771,1.07067743506114,38.63,21.2,0.31,Sul
Rondônia,1581196,8.1,0.7,0.964906301522844,6.65,67.89,1.09,Norte
Roraima,636707,5.1,0.699,0.968369170537318,2.85,64.98,14.12,Norte
Santa Catarina,7610361,10.4,0.792,1.02883285263028,79.5,23.2,0.25,Sul
São Paulo,44411238,11.9,0.806,1.07564299673926,178.92,40.9,0.11,Sudeste
Sergipe,2210004,9.1,0.702,1.05764441450647,100.74,74.46,0.21,Nordeste
Tocantins,1511460,8.6,0.731,0.96952979966516,5.45,75.33,1.24,Norte
